datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min.temp,max.temp,niederschlag,bewoelkung,sonnenstunden,kommentar
2023.01.01,00:00:00,23.59,Arnulf,358,44,402,6.4,18.5,0,73,7.8,NA
2023.01.02,00:00:00,23.59,Arnulf,781,64,845,3.5,14.9,0.4,81,4.2,NA
2023.01.03,00:00:00,23.59,Arnulf,671,51,722,3.7,10.4,0.7,91,0,NA
2023.01.04,00:00:00,23.59,Arnulf,744,43,787,2.1,11.2,0.1,75,3,NA
2023.01.05,00:00:00,23.59,Arnulf,630,45,675,8.3,11.1,2.3,98,0,NA
2023.01.06,00:00:00,23.59,Arnulf,469,25,494,4.6,10.9,0,88,5.9,NA
2023.01.07,00:00:00,23.59,Arnulf,634,35,669,1.3,10.7,0,55,7.7,NA
2023.01.08,00:00:00,23.59,Arnulf,443,38,481,0.4,8.8,0.1,91,1.3,NA
2023.01.09,00:00:00,23.59,Arnulf,1008,76,1084,3.6,7.5,0.4,96,0.1,NA
2023.01.10,00:00:00,23.59,Arnulf,1028,56,1084,1,5.2,0.2,86,1,NA
2023.01.11,00:00:00,23.59,Arnulf,998,61,1059,2,11.6,4.3,96,1.2,NA
2023.01.12,00:00:00,23.59,Arnulf,1170,65,1235,3.8,9,0,91,0.7,NA
2023.01.13,00:00:00,23.59,Arnulf,917,64,981,3.3,11.9,0.7,84,1.1,NA
2023.01.14,00:00:00,23.59,Arnulf,649,28,677,3.3,10,0.2,85,3.3,NA
2023.01.15,00:00:00,23.59,Arnulf,338,45,383,2.2,13.4,0.9,96,0,NA
2023.01.16,00:00:00,23.59,Arnulf,1061,56,1117,0.1,6,0,73,5.3,NA
2023.01.17,00:00:00,23.59,Arnulf,1162,62,1224,0.3,4.3,0,73,4.5,NA
2023.01.18,00:00:00,23.59,Arnulf,1068,63,1131,-1.2,3.1,0.3,94,1.4,NA
2023.01.19,00:00:00,23.59,Arnulf,880,42,922,-2.6,0.6,0,99,2.7,NA
2023.01.20,00:00:00,23.59,Arnulf,613,48,661,-2.3,-0.6,2.4,98,0,NA
